EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
2710, 90, 847, 522, 3.44395746031943, 18, 4166, Lightning, 1, 1, 19, 23, 12.7848646872, 13.0480569905927, 183.723906023, NaN, 3.44, NaN, 820.994835107524, 699.300180921453, 0.214384317398071, 0.0629462410137066, 757, 305, 3201, 
2711, 90, 326, 760, 4.90867802657728, 23, 3578, Lightning, 1, 1, 2, 6, 4.9119103116, 9.21127255493835, 240.52593391, NaN, 4.91, NaN, 896.391655552657, 761.954532701981, 0.214384317398071, 0.0554744757872212, 3, 358, 40, 
2712, 90, 437, 359, 2.22777306666988, 26, 3715, Lightning, 1, 1, 33, 69, 9.53537184, 12.5820454097615, 57.6663271, NaN, 2.23, NaN, 789.997563784307, 786.498651437758, 0.214384317398071, 0.168997896402985, 1113, 209, 5445, 
2713, 90, 651, 281, 6.89768244073208, 29, 11204, Accidental, 1, 1, 2, 8, 37.496546964, 36.7798733482415, 204.66373955, NaN, 6.9, NaN, 923.727589548912, 752.112100717745, 0.209999993443489, 0.0570374049543989, 1894, 204, 2117, 
2714, 90, 258, 674, 4.97876205460402, 31, 5612, Accidental, 1, 1, 0, 6, 17.5104464544, 17.0534458665486, 200.54950913, NaN, 4.98, NaN, 843.748699008484, 708.205386749819, 0.214384317398071, 0.0397671821116405, 0, 352, 0, 
2715, 90, 892, 695, 5.41551127069045, 32, 8608, Lightning, 1, 1, 4, 7, 25.3003574952, 28.2456581758583, 179.7773114, NaN, 5.42, NaN, 701.6816525264, 601.266701889761, 0.214384317398071, 0.039661996682568, 13, 326, 60, 
2716, 90, 963, 353, 6.94134040765588, 35, 9847, Lightning, 1, 1, 1, 4, 28.6009889616, 31.4549664928283, 162.3294984, NaN, 6.94, NaN, 919.39072679454, 749.262110194212, 0.214384317398071, 0.0359261070864467, 3340, 180, 1492, 
2717, 90, 231, 184, 2.40420627574062, 41, 1897, Accidental, 1, 1, 21, 25, 5.6678639544, 5.31984410028779, 246.8497879, NaN, 2.4, NaN, 779.684056918913, 568.095924479126, 0.28999999165535, 0.0879689271259283, 2386, 313, 5314, 
2718, 90, 649, 741, 6.67006419252384, 43, 7075, Lightning, 1, 1, 10, 21, 15.9539496732, 20.9536061227108, 161.1613347, NaN, 6.67, NaN, 797.884794201305, 728.89562117336, 0.0799999982118607, 0.0944164484887511, 2152, 202, 1287, 
2719, 90, 514, 912, 14.0491590671484, 50, 6711, Lightning, 1, 1, 5, 13, 10.6373750724, 11.7273379093536, 148.0395989, NaN, 14.05, NaN, 850.493403208467, 722.825364415881, 0.214384317398071, 0.0742300498444259, 6, 351, 11497, 
2720, 90, 395, 689, 12.9753564894069, 110, 7170, Accidental, 1, 1, 13, 17, 10.742327784, 14.6487854204235, 133.398643, NaN, 12.98, NaN, 776.013612473896, 675.334195893016, 0.300000011920929, 0.0588859259488258, 42, 344, 198, 
2721, 90, 606, 654, 11.3994523452757, 115, 6230, Lightning, 1, 1, 1, 5, 10.5448669128, 12.6621027849138, 359.2659318, NaN, 11.4, NaN, 746.541628924215, 646.400017476528, 0.214384317398071, 0.0446665935522385, 0, 381, 7435, 
2722, 90, 1087, 853, 22.6921563331836, 125, 8818, Lightning, 1, 1, 1, 2, 8.4680738172, 10.7808598205522, 50.3287605, NaN, 22.69, NaN, 924.338332529859, 803.918982731262, 0.214384317398071, 0.022505335405416, 540, 303, 488, 
2723, 90, 814, 383, 32.5601297453417, 131, 15590, Lightning, 1, 1, 0, 0, 19.6645926276, 26.6838826789598, 351.5420973, NaN, 32.56, NaN, 854.410012425366, 697.069881230666, 0.214384317398071, 2.96825749735802E-10, 0, 340, 0, 
2724, 90, 755, 278, 45.6184865499194, 132, 16160, Accidental, 3, 13768, 8381, 18574, 26.3639537872077, 26.8908783515173, 197.3656938629, 0, 44.58, 0.74909358675252, 928.570973006352, 754.587314921607, 0.221374389756214, 0.0146158349068764, 647.674244625218, 295.93, 13928540, 
2725, 90, 548, 501, 34.8345699038235, 132, 13794, Lightning, 1, 1, 0, 2, 14.8323451356, 17.2903387891495, 24.2505834, NaN, 34.83, NaN, 939.246908099189, 799.936248789696, 0.214384317398071, 0.0575375502070248, 0, 308, 0, 
2726, 90, 397, 515, 22.3212396175132, 152, 8019, Lightning, 1, 1, 2, 10, 8.3330723952, 8.06397917190572, 353.7494802, NaN, 22.32, NaN, 913.967663462849, 735.418960801541, 0.280000001192093, 0.0722531438164566, 0, 399, 218, 
2727, 90, 833, 671, 24.3133895992042, 154, 7579, Lightning, 1, 1, 6, 7, 10.728, 4.24390038859827, 332.8669379, NaN, 24.31, NaN, 710.351239847433, 599.593055981939, 0.0500000007450581, 0.0130787135739068, 570, 442, 427, 
