Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1987, eco46, 19, 125.87, 13.35, 56, 307, 0, 
1988, eco46, 19, 105.76, 13.19, 83, 309, 0, 
1979, eco47, 20, 123.95, 12.31, 76, 295, 0, 
1980, eco47, 20, 100.49, 12.47, 93, 295, 0, 
1981, eco47, 20, 144.57, 12.87, 84, 286, 0, 
1982, eco47, 20, 143.7, 11.4, 115, 291, 0, 
1983, eco47, 20, 213.47, 11.98, 109, 306, 0, 
1984, eco47, 20, 114.26, 12.06, 105, 279, 0, 
1985, eco47, 20, 61.57, 12.14, 95, 278, 0, 
1986, eco47, 20, 126.53, 13.06, 105, 294, 0, 
1987, eco47, 20, 110.65, 12.86, 94, 300, 0, 
1988, eco47, 20, 93.04, 12.76, 95, 302, 0, 
1979, eco48, 21, 120.29, 11.71, 83, 291, 0, 
1980, eco48, 21, 96.47, 11.93, 94, 286, 0, 
1981, eco48, 21, 139.63, 12.39, 84, 275, 0, 
1982, eco48, 21, 137.45, 10.78, 115, 291, 0, 
1983, eco48, 21, 207.26, 11.4, 109, 292, 0, 
1984, eco48, 21, 101.5, 11.5, 106, 274, 0, 
1985, eco48, 21, 61.89, 11.62, 95, 275, 0, 
1986, eco48, 21, 121.84, 12.5, 105, 293, 0, 
1987, eco48, 21, 102.58, 12.36, 94, 298, 0, 
1988, eco48, 21, 89.07, 12.21, 96, 292, 0, 
1979, eco49, 22, 138.07, 10.52, 119, 291, 0, 
1980, eco49, 22, 109.38, 10.63, 123, 282, 0, 
1981, eco49, 22, 163.14, 11.19, 116, 270, 0, 
1982, eco49, 22, 150.6, 9.46, 131, 284, 0, 
1983, eco49, 22, 228.08, 10.14, 123, 291, 0, 
1984, eco49, 22, 105.91, 10.22, 122, 268, 0, 
1985, eco49, 22, 71.5, 10.41, 121, 275, 0, 
1986, eco49, 22, 135.71, 11.15, 124, 256, 0, 
1987, eco49, 22, 110.12, 11.15, 115, 291, 0, 
1988, eco49, 22, 93.08, 10.97, 131, 291, 0, 
1979, eco50, 23, 129.4, 10.38, 118, 291, 0, 
1980, eco50, 23, 97.4, 10.44, 121, 289, 0, 
1981, eco50, 23, 154.74, 11.07, 111, 272, 0, 
1982, eco50, 23, 136.42, 9.39, 125, 282, 0, 
1983, eco50, 23, 222.4, 9.97, 122, 291, 0, 
1984, eco50, 23, 94.37, 10.06, 120, 268, 0, 
1985, eco50, 23, 64.2, 10.13, 112, 270, 0, 
1986, eco50, 23, 126.04, 10.98, 120, 258, 0, 
1987, eco50, 23, 96.59, 11.01, 111, 291, 0, 
